rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
1,ElasticNet,A,none,loeo,feature_noise,26.923591628458468,37.89671760708791,0.6012535211549672,16.99298465716858,LOEO (honest); aug:feature_noise,A_ST_feature_noise
2,ElasticNet,N,none,loeo,none,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137,LOEO (honest),N_ST
3,ElasticNet,A,none,loeo,grouped_scaling,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
4,ElasticNet,A,none,loeo,feature_scaling,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
5,Lasso,N,random,loeo,none,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903,LOEO (honest); tuning:random,N_CT_random
6,Lasso,N,grid,loeo,none,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903,LOEO (honest); tuning:grid,N_CT_grid
7,ElasticNet,N,random,loeo,none,30.55526810444884,39.73163756336244,0.5617049153407446,20.974120585776294,LOEO (honest); tuning:random,N_CT_random
8,ElasticNet,N,grid,loeo,none,30.55526810444884,39.73163756336244,0.5617049153407446,20.974120585776294,LOEO (honest); tuning:grid,N_CT_grid
9,ElasticNet,A,random,loeo,feature_noise,30.570234318150916,39.72042348933228,0.5619522940142267,20.957284125205923,LOEO (honest); aug:feature_noise; tuning:random,A_CT_random_feature_noise
10,ElasticNet,A,grid,loeo,feature_noise,30.570234318150916,39.72042348933228,0.5619522940142267,20.957284125205923,LOEO (honest); aug:feature_noise; tuning:grid,A_CT_grid_feature_noise
11,Lasso,N,none,loeo,none,33.65520332639927,39.96315208925391,0.5565821808904043,21.652666110506306,LOEO (honest),N_ST
12,Lasso,A,none,loeo,feature_noise,33.76470611813842,40.043827934874066,0.554790069195905,21.666762231663945,LOEO (honest); aug:feature_noise,A_ST_feature_noise
13,Lasso,A,none,loeo,grouped_scaling,33.90907477231404,44.87365117651112,0.4409167446639779,20.066789481238906,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
14,ElasticNet,A,random,loeo,grouped_scaling,33.96062247609629,45.37066609561393,0.42846348742959806,22.175461399031978,LOEO (honest); aug:grouped_scaling; tuning:random,A_CT_random_grouped_scaling
15,ElasticNet,A,grid,loeo,grouped_scaling,33.96062247609629,45.37066609561393,0.42846348742959806,22.175461399031978,LOEO (honest); aug:grouped_scaling; tuning:grid,A_CT_grid_grouped_scaling
16,Lasso,A,random,loeo,grouped_scaling,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178,LOEO (honest); aug:grouped_scaling; tuning:random,A_CT_random_grouped_scaling
17,Lasso,A,grid,loeo,grouped_scaling,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178,LOEO (honest); aug:grouped_scaling; tuning:grid,A_CT_grid_grouped_scaling
18,Lasso,A,random,loeo,feature_scaling,35.06539413316634,43.53255669846679,0.4738349239647982,21.590627344180756,LOEO (honest); aug:feature_scaling; tuning:random,A_CT_random_feature_scaling
19,Lasso,A,grid,loeo,feature_scaling,35.06539413316634,43.53255669846679,0.4738349239647982,21.590627344180756,LOEO (honest); aug:feature_scaling; tuning:grid,A_CT_grid_feature_scaling
20,Lasso,A,none,loeo,feature_scaling,35.14329796436041,41.3205696328452,0.5259476871183225,22.013045688510154,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
21,Lasso,A,random,loeo,feature_noise,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655,LOEO (honest); aug:feature_noise; tuning:random,A_CT_random_feature_noise
22,Lasso,A,grid,loeo,feature_noise,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655,LOEO (honest); aug:feature_noise; tuning:grid,A_CT_grid_feature_noise
23,Ridge,N,random,loeo,none,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,LOEO (honest); tuning:random,N_CT_random
24,Ridge,N,grid,loeo,none,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,LOEO (honest); tuning:grid,N_CT_grid
25,Ridge,A,random,loeo,grouped_scaling,42.38062829584133,65.86682592159036,-0.20455640462812963,25.721086461125115,LOEO (honest); aug:grouped_scaling; tuning:random,A_CT_random_grouped_scaling
26,Ridge,A,grid,loeo,grouped_scaling,42.38062829584133,65.86682592159036,-0.20455640462812963,25.721086461125115,LOEO (honest); aug:grouped_scaling; tuning:grid,A_CT_grid_grouped_scaling
27,Ridge,N,none,loeo,none,42.582849315296414,65.34621258152558,-0.1855899588109835,26.36629651673214,LOEO (honest),N_ST
