model,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,N,ST,none,holdout,none,N_ST,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,8,8,0,2,1,
Ridge,N,ST,none,holdout,none,N_ST,18.986212842003788,23.74440776011287,0.8881577266656401,9.079485628939409,8,8,0,2,1,
Lasso,N,ST,none,holdout,none,N_ST,8.940861607814561,9.573627252270782,0.9818182228197934,5.201876274667747,8,8,0,2,1,
ElasticNet,N,ST,none,holdout,none,N_ST,30.999038081334135,31.241143790832574,0.8063858231780447,20.28223415321305,8,8,0,2,1,
SVR,N,ST,none,holdout,none,N_ST,70.88961949705957,72.36054453730308,-0.03869240343880653,44.7955917632419,8,8,0,2,1,
RandomForest,N,ST,none,holdout,none,N_ST,56.09108333333336,56.09450335383933,0.37579978049714513,38.50156495607954,8,8,0,2,1,
XGBoost,N,ST,none,holdout,none,N_ST,67.48419952392578,67.49435367226975,0.09631268049247488,46.86099483821802,8,8,0,2,1,
MLP,N,ST,none,holdout,none,N_ST,74.98170765291573,99.92505590841282,-0.9807611184882814,70.28512760977611,8,8,0,2,1,
DummyRegressor,N,ST,none,loeo,none,N_ST,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,N,ST,none,loeo,none,N_ST,42.582849315296414,65.34621258152558,-0.1855899588109835,26.36629651673214,9,9,0,10,10,
Lasso,N,ST,none,loeo,none,N_ST,33.65520332639927,39.96315208925391,0.5565821808904043,21.652666110506306,9,9,0,10,10,
ElasticNet,N,ST,none,loeo,none,N_ST,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137,9,9,0,10,10,
SVR,N,ST,none,loeo,none,N_ST,60.24311227420817,69.56571176951118,-0.34364374890640415,39.16508645475763,9,9,0,10,10,
RandomForest,N,ST,none,loeo,none,N_ST,47.425946428571436,60.27082832346072,-0.008574515518013692,32.05050450187016,9,9,0,10,10,
XGBoost,N,ST,none,loeo,none,N_ST,46.552085876464844,58.679561493025105,0.04397909397707345,28.7624587436362,9,9,0,10,10,
MLP,N,ST,none,loeo,none,N_ST,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,N,CT,none,holdout,none,N_CT_random,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929,8,8,0,2,1,
Ridge,N,CT,random,holdout,none,N_CT_random,34.71608449671825,35.334335628483174,0.7523278567136886,22.085801739745687,8,8,0,2,1,
Lasso,N,CT,random,holdout,none,N_CT_random,14.254709842088275,16.298260902368334,0.9473054337548763,12.052065911136856,8,8,0,2,1,
ElasticNet,N,CT,random,holdout,none,N_CT_random,33.88270655541295,33.91561723525506,0.771817279815844,22.942479468340842,8,8,0,2,1,
SVR,N,CT,random,holdout,none,N_CT_random,70.78798058688356,70.88001583216229,0.00337697989137542,47.793684156671,8,8,0,2,1,
RandomForest,N,CT,random,holdout,none,N_CT_random,58.72500000000001,59.06463620475454,0.30794857171196166,38.712403407965134,8,8,0,2,1,
XGBoost,N,CT,random,holdout,none,N_CT_random,61.76654052734375,63.28250694804593,0.20557911413817076,38.71534873217149,8,8,0,2,1,
MLP,N,CT,none,holdout,none,N_CT_random,74.98170765291573,99.92505590841282,-0.9807611184882814,70.28512760977611,8,8,0,2,1,
DummyRegressor,N,CT,none,loeo,none,N_CT_random,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,N,CT,random,loeo,none,N_CT_random,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,9,9,0,10,10,
Lasso,N,CT,random,loeo,none,N_CT_random,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903,9,9,0,10,10,
ElasticNet,N,CT,random,loeo,none,N_CT_random,30.55526810444884,39.73163756336244,0.5617049153407446,20.974120585776294,9,9,0,10,10,
SVR,N,CT,random,loeo,none,N_CT_random,52.423405492922015,65.58443192477306,-0.19424984129538903,36.23388698100357,9,9,0,10,10,
RandomForest,N,CT,random,loeo,none,N_CT_random,48.373000000000005,60.99760946135512,-0.03304514269690051,32.345613572671766,9,9,0,10,10,
XGBoost,N,CT,random,loeo,none,N_CT_random,48.354556274414065,62.73485137458298,-0.09272635262641038,31.06654092881253,9,9,0,10,10,
