model,data_branch,tuning_method,validation_type,augmentation_strategy,branch_id,best_params,best_cv_score,scoring,notes
DummyRegressor,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Lasso,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
ElasticNet,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
SVR,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
RandomForest,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
XGBoost,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
MLP,N,none,holdout,none,N_ST,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,N,none,holdout,none,N_CT_random,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,N,random,holdout,none,N_CT_random,"{""model__alpha"": 100}",45.61003643859091,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,N,random,holdout,none,N_CT_random,"{""model__alpha"": 0.01}",32.56498667843633,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,N,random,holdout,none,N_CT_random,"{""model__l1_ratio"": 0.3, ""model__alpha"": 0.01}",33.47185973927448,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,N,random,holdout,none,N_CT_random,"{""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}",37.845603773969415,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,N,random,holdout,none,N_CT_random,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 1, ""model__max_depth"": null}",33.9645,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,N,random,holdout,none,N_CT_random,"{""model__subsample"": 0.8, ""model__reg_lambda"": 5, ""model__n_estimators"": 30, ""model__max_depth"": 2, ""model__learning_rate"": 0.05, ""model__colsample_bytree"": 0.8}",31.367718505859376,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,N,none,holdout,none,N_CT_random,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,N,none,holdout,none,N_CT_grid,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,N,grid,holdout,none,N_CT_grid,"{""model__alpha"": 100}",45.61003643859091,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,N,grid,holdout,none,N_CT_grid,"{""model__alpha"": 0.01}",32.56498667843633,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,N,grid,holdout,none,N_CT_grid,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.3}",33.47185973927448,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,N,grid,holdout,none,N_CT_grid,"{""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""auto""}",37.845603773969415,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,N,grid,holdout,none,N_CT_grid,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",33.9645,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,N,grid,holdout,none,N_CT_grid,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 50, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",31.43688201904297,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,N,none,holdout,none,N_CT_grid,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,none,holdout,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Lasso,A,none,holdout,feature_noise,A_ST_feature_noise,{},,neg_mean_absolute_error,"{""method"": ""none""}"
