model,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,N,ST,none,loeo,none,N_ST,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,N,ST,none,loeo,none,N_ST,42.582849315296414,65.34621258152558,-0.1855899588109835,26.36629651673214,9,9,0,10,10,
Lasso,N,ST,none,loeo,none,N_ST,33.655203326399295,39.96315208925388,0.556582180890405,21.652666110506328,9,9,0,10,10,
ElasticNet,N,ST,none,loeo,none,N_ST,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165,9,9,0,10,10,
SVR,N,ST,none,loeo,none,N_ST,60.24311227420817,69.56571176951118,-0.34364374890640415,39.16508645475763,9,9,0,10,10,
RandomForest,N,ST,none,loeo,none,N_ST,47.425946428571436,60.27082832346072,-0.008574515518013692,32.05050450187016,9,9,0,10,10,
XGBoost,N,ST,none,loeo,none,N_ST,46.552085876464844,58.679561493025105,0.04397909397707345,28.7624587436362,9,9,0,10,10,
MLP,N,ST,none,loeo,none,N_ST,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,N,CT,none,loeo,none,N_CT_random,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,N,CT,random,loeo,none,N_CT_random,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,9,9,0,10,10,
Lasso,N,CT,random,loeo,none,N_CT_random,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115,9,9,0,10,10,
ElasticNet,N,CT,random,loeo,none,N_CT_random,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,9,9,0,10,10,
SVR,N,CT,random,loeo,none,N_CT_random,51.17302999799375,64.42143668337691,-0.15227060195362174,34.98716081722705,9,9,0,10,10,
RandomForest,N,CT,random,loeo,none,N_CT_random,51.52915714285714,62.45407305973925,-0.08296695211171645,35.54927443784685,9,9,0,10,10,
XGBoost,N,CT,random,loeo,none,N_CT_random,43.632991027832034,60.60287587361608,-0.019718122368365343,27.012101899575867,9,9,0,10,10,
MLP,N,CT,none,loeo,none,N_CT_random,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,N,CT,none,loeo,none,N_CT_grid,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,N,CT,grid,loeo,none,N_CT_grid,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,9,9,0,10,10,
Lasso,N,CT,grid,loeo,none,N_CT_grid,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115,9,9,0,10,10,
