tuning_method,data_branch,augmentation_strategy,best_MAE,best_MAE_baseline_N,delta_vs_N
grid,A,feature_noise,35.98316857921169,27.663196671987105,8.319971907224588
grid,A,feature_scaling,27.33827019113839,27.663196671987105,-0.3249264808487169
grid,A,grouped_scaling,28.63168660524925,27.663196671987105,0.9684899332621448
grid,N,none,27.663196671987105,27.663196671987105,0.0
none,A,feature_noise,26.92359162845846,26.959668383421967,-0.036076754963506374
none,A,feature_scaling,27.067745827786258,26.959668383421967,0.1080774443642909
none,A,grouped_scaling,27.03587644172101,26.959668383421967,0.07620805829904143
none,N,none,26.959668383421967,26.959668383421967,0.0
random,A,feature_noise,35.98316857921169,27.663196671987105,8.319971907224588
random,A,feature_scaling,27.33827019113839,27.663196671987105,-0.3249264808487169
random,A,grouped_scaling,28.63168660524925,27.663196671987105,0.9684899332621448
random,N,none,27.663196671987105,27.663196671987105,0.0
