stage_order,branch_id,family,short_label,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_previous_stage,delta_MAE_vs_baseline,interpretation
1,N_ST,N,1. N_ST,ElasticNet,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165,0.0,0.0,baseline
2,N_CT_random,N · tuning,2. N_CT_random,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,0.7035282885651384,0.7035282885651384,vs previous: negligible change (<1 µm)
3,N_CT_grid,N · tuning,3. N_CT_grid,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,0.0,0.7035282885651384,vs previous: negligible change (<1 µm)
4,A_ST_feature_noise,A · ST,4. A_ST_fnoise,ElasticNet,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577,-0.7396050435286448,-0.036076754963506374,vs previous: negligible change (<1 µm)  ·  BEST OVERALL
5,A_ST_feature_scaling,A · ST,5. A_ST_fscale,ElasticNet,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603,0.14415419932779727,0.1080774443642909,vs previous: negligible change (<1 µm)
6,A_ST_grouped_scaling,A · ST,6. A_ST_gscale,ElasticNet,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568,-0.03186938606524947,0.07620805829904143,vs previous: negligible change (<1 µm)
7,A_CT_random_feature_noise,A · random,7. A_CTr_fnoise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,8.947292137490685,9.023500195789726,vs previous: worsened
8,A_CT_random_feature_scaling,A · random,8. A_CTr_fscale,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,-8.644898388073305,0.3786018077164215,vs previous: improved
9,A_CT_random_grouped_scaling,A · random,9. A_CTr_gscale,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,1.2934164141108617,1.6720182218272832,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
10,A_CT_grid_feature_noise,A · grid,10. A_CTg_fnoise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,7.351481973962443,9.023500195789726,vs previous: worsened
11,A_CT_grid_feature_scaling,A · grid,11. A_CTg_fscale,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,-8.644898388073305,0.3786018077164215,vs previous: improved
12,A_CT_grid_grouped_scaling,A · grid,12. A_CTg_gscale,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,1.2934164141108617,1.6720182218272832,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
