rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
1,ElasticNet,A,none,loeo,feature_noise,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
2,ElasticNet,N,none,loeo,none,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165,"LOEO-CV (honest, n=10)",N_ST
3,ElasticNet,A,none,loeo,grouped_scaling,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
4,ElasticNet,A,none,loeo,feature_scaling,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
5,ElasticNet,A,random,loeo,feature_scaling,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
6,ElasticNet,A,grid,loeo,feature_scaling,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
7,ElasticNet,N,random,loeo,none,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,"LOEO-CV (honest, n=10); tuning:random",N_CT_random
8,ElasticNet,N,grid,loeo,none,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154,"LOEO-CV (honest, n=10); tuning:grid",N_CT_grid
9,Lasso,N,random,loeo,none,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115,"LOEO-CV (honest, n=10); tuning:random",N_CT_random
10,Lasso,N,grid,loeo,none,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115,"LOEO-CV (honest, n=10); tuning:grid",N_CT_grid
11,ElasticNet,A,random,loeo,grouped_scaling,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
12,ElasticNet,A,grid,loeo,grouped_scaling,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
13,Lasso,N,none,loeo,none,33.655203326399295,39.96315208925388,0.556582180890405,21.652666110506328,"LOEO-CV (honest, n=10)",N_ST
14,Lasso,A,none,loeo,feature_noise,33.76470611813847,40.043827934874095,0.5547900691959045,21.666762231664016,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
15,Lasso,A,none,loeo,grouped_scaling,33.90907477231423,44.873651176511316,0.4409167446639729,20.066789481239002,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
16,Lasso,A,random,loeo,grouped_scaling,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
17,Lasso,A,grid,loeo,grouped_scaling,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
18,Lasso,A,none,loeo,feature_scaling,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
19,Lasso,A,random,loeo,feature_scaling,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
20,Lasso,A,grid,loeo,feature_scaling,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
21,Lasso,A,random,loeo,feature_noise,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",A_CT_random_feature_noise
22,Lasso,A,grid,loeo,feature_noise,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
23,ElasticNet,A,random,loeo,feature_noise,36.62542542163622,55.8801552157735,0.13302040238362056,22.002929265498,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",A_CT_random_feature_noise
24,ElasticNet,A,grid,loeo,feature_noise,36.62542542163622,55.8801552157735,0.13302040238362056,22.002929265498,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
25,Ridge,N,random,loeo,none,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,"LOEO-CV (honest, n=10); tuning:random",N_CT_random
26,Ridge,N,grid,loeo,none,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,"LOEO-CV (honest, n=10); tuning:grid",N_CT_grid
27,Ridge,A,random,loeo,feature_noise,41.51559510077402,64.01920604083557,-0.13792656838843897,25.419786505838417,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",A_CT_random_feature_noise
28,Ridge,A,grid,loeo,feature_noise,41.51559510077402,64.01920604083557,-0.13792656838843897,25.419786505838417,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
29,Ridge,N,none,loeo,none,42.582849315296414,65.34621258152558,-0.1855899588109835,26.36629651673214,"LOEO-CV (honest, n=10)",N_ST
30,Ridge,A,random,loeo,feature_scaling,43.120823626013006,68.93643390002389,-0.3194450157710307,25.79234720762974,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
31,Ridge,A,grid,loeo,feature_scaling,43.120823626013006,68.93643390002389,-0.3194450157710307,25.79234720762974,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
32,Ridge,A,none,loeo,feature_noise,43.24379058988059,65.25279451387938,-0.18220257486640068,27.14617301002954,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
33,XGBoost,N,random,loeo,none,43.632991027832034,60.60287587361608,-0.019718122368365343,27.012101899575867,"LOEO-CV (honest, n=10); tuning:random",N_CT_random
34,Ridge,A,none,loeo,grouped_scaling,44.066750006888945,73.20332009565948,-0.4878365636763804,25.74040983782538,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
35,XGBoost,A,grid,loeo,feature_scaling,45.762108612060544,54.28856783257799,0.1817039786010396,28.171176003283033,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
36,Ridge,A,none,loeo,feature_scaling,46.00336071357373,77.7613971521235,-0.6788882127696385,26.70818936403565,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
37,XGBoost,N,grid,loeo,none,46.53413848876953,59.61825509581138,0.013147622180354257,29.625563979782427,"LOEO-CV (honest, n=10); tuning:grid",N_CT_grid
38,XGBoost,N,none,loeo,none,46.552085876464844,58.679561493025105,0.04397909397707345,28.7624587436362,"LOEO-CV (honest, n=10)",N_ST
39,XGBoost,A,random,loeo,feature_scaling,46.61649627685547,56.52819622887115,0.11279511315805568,28.604263164883985,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
40,XGBoost,A,random,loeo,grouped_scaling,47.102447509765625,61.26408132272717,-0.042090701953174214,28.54700715769048,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
41,RandomForest,N,none,loeo,none,47.425946428571436,60.27082832346072,-0.008574515518013692,32.05050450187016,"LOEO-CV (honest, n=10)",N_ST
42,XGBoost,A,random,loeo,feature_noise,49.46134033203125,59.90532176870392,0.0036211955465486056,31.369174258843373,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",A_CT_random_feature_noise
43,XGBoost,A,grid,loeo,grouped_scaling,49.96862030029297,62.23598125061841,-0.07541664113994417,31.17428970647897,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
44,SVR,N,random,loeo,none,51.17302999799375,64.42143668337691,-0.15227060195362174,34.98716081722705,"LOEO-CV (honest, n=10); tuning:random",N_CT_random
45,SVR,N,grid,loeo,none,51.17302999799375,64.42143668337691,-0.15227060195362174,34.98716081722705,"LOEO-CV (honest, n=10); tuning:grid",N_CT_grid
46,XGBoost,A,grid,loeo,feature_noise,51.489996337890624,62.83440995587233,-0.09619736137830515,32.41715345139697,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
47,RandomForest,N,random,loeo,none,51.52915714285714,62.454073059739244,-0.08296695211171623,35.54927443784685,"LOEO-CV (honest, n=10); tuning:random",N_CT_random
48,RandomForest,N,grid,loeo,none,51.52915714285714,62.454073059739244,-0.08296695211171623,35.54927443784685,"LOEO-CV (honest, n=10); tuning:grid",N_CT_grid
49,RandomForest,A,random,loeo,feature_noise,52.61800000000001,65.76049045589609,-0.2006702700676628,34.18889067753754,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",A_CT_random_feature_noise
50,RandomForest,A,grid,loeo,feature_noise,52.61800000000001,65.76049045589609,-0.2006702700676628,34.18889067753754,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
51,RandomForest,A,none,loeo,feature_noise,52.80511071428572,65.79318209407236,-0.20186434980905177,34.24667247122933,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
52,SVR,A,none,loeo,grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
53,SVR,A,random,loeo,grouped_scaling,53.631246931476674,65.24517050710853,-0.18192633860817087,34.87739859627544,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",A_CT_random_grouped_scaling
54,SVR,A,none,loeo,feature_noise,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
55,SVR,A,random,loeo,feature_noise,53.67230013883481,65.34624766697445,-0.18559123193655291,34.88253605186713,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",A_CT_random_feature_noise
56,SVR,A,grid,loeo,grouped_scaling,53.69852809659271,65.3002582667731,-0.18392302771956137,34.914946849680234,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",A_CT_grid_grouped_scaling
57,SVR,A,none,loeo,feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,"LOEO-CV (honest, n=10); aug:feature_scaling",A_ST_feature_scaling
58,SVR,A,random,loeo,feature_scaling,53.72882655728129,65.37414522994081,-0.1866037511683103,34.94860487631025,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",A_CT_random_feature_scaling
59,SVR,A,grid,loeo,feature_noise,53.744260977424496,65.40412065353831,-0.18769216630598362,34.946902750369084,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
60,SVR,A,grid,loeo,feature_scaling,53.88025844387572,65.48391396533992,-0.19059191330182257,35.06314783415158,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",A_CT_grid_feature_scaling
61,XGBoost,A,none,loeo,feature_noise,54.03581848144531,70.33116761697212,-0.3733755926708373,34.82644854303633,"LOEO-CV (honest, n=10); aug:feature_noise",A_ST_feature_noise
62,XGBoost,A,none,loeo,grouped_scaling,55.538117218017575,67.79363345820694,-0.27606116502689426,34.92044155482043,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
63,RandomForest,A,none,loeo,grouped_scaling,55.885895634920644,67.80231768418419,-0.2763881076236534,37.00876589588356,"LOEO-CV (honest, n=10); aug:grouped_scaling",A_ST_grouped_scaling
