model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,42.582849315296414,65.34621258152558,-0.1855899588109835,26.36629651673214,9,9,0,10,10,
Lasso,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,33.65520332639927,39.96315208925391,0.5565821808904043,21.652666110506306,9,9,0,10,10,
ElasticNet,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137,9,9,0,10,10,
SVR,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,60.24311227420817,69.56571176951118,-0.34364374890640415,39.16508645475763,9,9,0,10,10,
RandomForest,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,47.425946428571436,60.27082832346073,-0.008574515518013914,32.05050450187016,9,9,0,10,10,
XGBoost,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,46.552085876464844,58.679561493025105,0.04397909397707345,28.7624587436362,9,9,0,10,10,
MLP,FUSION,N,ST,none,loeo,none,FUSION_N_ST,203,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,203,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,203,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,9,9,0,10,10,
Lasso,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,203,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903,9,9,0,10,10,
ElasticNet,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,203,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098,9,9,0,10,10,
SVR,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,203,51.17302999799375,64.42143668337691,-0.15227060195362174,34.98716081722705,9,9,0,10,10,
RandomForest,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,203,51.52915714285714,62.454073059739244,-0.08296695211171623,35.54927443784685,9,9,0,10,10,
XGBoost,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,203,43.632991027832034,60.60287587361608,-0.019718122368365343,27.012101899575867,9,9,0,10,10,
MLP,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,203,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,FUSION,N,CT,none,loeo,none,FUSION_N_CT_grid,203,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,203,40.2674121654201,63.250227271199115,-0.11075390993071044,23.88981752352984,9,9,0,10,10,
Lasso,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,203,27.860476740879683,42.52008452171821,0.49802520824000385,16.060348208903,9,9,0,10,10,
ElasticNet,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,203,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098,9,9,0,10,10,
SVR,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,203,51.17302999799375,64.42143668337691,-0.15227060195362174,34.98716081722705,9,9,0,10,10,
RandomForest,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,203,51.52915714285714,62.454073059739244,-0.08296695211171623,35.54927443784685,9,9,0,10,10,
XGBoost,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,203,46.53413848876953,59.61825509581138,0.013147622180354257,29.625563979782427,9,9,0,10,10,
MLP,FUSION,N,CT,none,loeo,none,FUSION_N_CT_grid,203,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,9,9,0,10,10,
DummyRegressor,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,203,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,203,43.24379058988059,65.25279451387938,-0.18220257486640068,27.14617301002954,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,203,33.76470611813842,40.043827934874066,0.554790069195905,21.666762231663945,36,9,27,10,10,
