model,stage_order,branch_id,family,short_label,MAE,RMSE,R2,MAPE_%
ElasticNet,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137
ElasticNet,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098
ElasticNet,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098
ElasticNet,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,26.923591628458468,37.89671760708791,0.6012535211549672,16.99298465716858
ElasticNet,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575
ElasticNet,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607
ElasticNet,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,36.62542542163622,55.88015521577351,0.13302040238362012,22.002929265498
ElasticNet,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616
ElasticNet,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813
ElasticNet,10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,36.62542542163622,55.88015521577351,0.13302040238362012,22.002929265498
ElasticNet,11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616
ElasticNet,12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813
ElasticNet,13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,21.630867359730615,29.111669986024843,0.7646967591949281,14.83546916092336
ElasticNet,14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615
ElasticNet,15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615
ElasticNet,16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,21.238655974199922,28.63049728687949,0.772410902966659,14.683730807362135
ElasticNet,17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,25.075215884189376,32.2579774717069,0.711086431490453,17.19093009982847
ElasticNet,18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,23.90532808286401,30.554995793407375,0.7407861953874035,16.650082146980242
ElasticNet,19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323
ElasticNet,20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162
ElasticNet,21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,23.527293275767406,29.285454022415074,0.7618790575260538,16.75249732401313
ElasticNet,22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323
ElasticNet,23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162
