stage_order,branch_id,family,short_label,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_previous_stage,delta_MAE_vs_baseline,interpretation
1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,ElasticNet,26.959668383421928,37.8789022295076,0.6016283372215276,17.038140684518137,0.0,0.0,baseline
2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,ElasticNet,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098,0.7035282885651384,0.7035282885651384,vs previous: negligible change (<1 µm)
3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,ElasticNet,27.663196671987066,37.43323032800222,0.6109474350126566,17.164442088324098,0.0,0.7035282885651384,vs previous: negligible change (<1 µm)
4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,ElasticNet,26.923591628458468,37.89671760708791,0.6012535211549672,16.99298465716858,-0.7396050435285986,-0.03607675496346019,vs previous: negligible change (<1 µm)
5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,ElasticNet,27.06774582778623,37.06400834724107,0.6185844104394449,17.313597773414575,0.14415419932776175,0.10807744436430156,vs previous: negligible change (<1 µm)
6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,ElasticNet,27.03587644172104,37.98051063313109,0.5994882435874871,17.174476760342607,-0.031869386065189076,0.07620805829911248,vs previous: negligible change (<1 µm)
7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,Lasso,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655,8.947292137498845,9.023500195797958,vs previous: worsened
8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,ElasticNet,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616,-8.64489838808149,0.3786018077164677,vs previous: improved
9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,ElasticNet,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813,1.2934164141109008,1.6720182218273685,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,Lasso,35.983168579219885,48.208122937150755,0.354740936303946,22.197747111771655,7.351481973970589,9.023500195797958,vs previous: worsened
11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,ElasticNet,27.338270191138395,34.32510922172062,0.6728721452753985,17.95963096601616,-8.64489838808149,0.3786018077164677,vs previous: improved
12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,ElasticNet,28.631686605249296,38.036378719128216,0.598309097655559,18.106731613098813,1.2934164141109008,1.6720182218273685,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,ElasticNet,21.630867359730615,29.111669986024843,0.7646967591949281,14.83546916092336,-7.000819245518681,-5.328801023691312,vs previous: improved
14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,ElasticNet,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615,-2.84132797849292,-8.170129002184233,"vs previous: marginal improvement (<5 µm, not significant with n=10)  ·  BEST OVERALL"
15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,ElasticNet,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615,0.0,-8.170129002184233,vs previous: negligible change (<1 µm)
16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,ElasticNet,21.238655974199922,28.63049728687949,0.772410902966659,14.683730807362135,2.449116592962227,-5.721012409222006,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,Ridge,23.885003115543157,31.3396118683617,0.7273026629000392,16.20636779850405,2.6463471413432345,-3.074665267878771,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,ElasticNet,23.90532808286401,30.554995793407375,0.7407861953874035,16.650082146980242,0.020324967320853204,-3.054340300557918,vs previous: negligible change (<1 µm)
19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,ElasticNet,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323,2.9588831531053224,-0.09545714745259559,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,ElasticNet,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,-4.643741129331989,-4.739198276784585,"vs previous: marginal improvement (<5 µm, not significant with n=10)"
21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,0.5194774305681413,-4.219720846216443,vs previous: negligible change (<1 µm)
22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,ElasticNet,26.864211235969332,34.46415651711433,0.6702164582637167,18.400429010059323,4.124263698763848,-0.09545714745259559,"vs previous: marginal worsening (<5 µm, not significant with n=10)"
23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,ElasticNet,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,-4.643741129331989,-4.739198276784585,"vs previous: marginal improvement (<5 µm, not significant with n=10)"
24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,Ridge,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,0.5194774305681413,-4.219720846216443,vs previous: negligible change (<1 µm)
25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,ElasticNet,30.947568337376413,40.38287131045267,0.5472191401046227,20.522088167744666,8.207620800170929,3.9878999539544857,vs previous: worsened
