tuning_method,data_branch,augmentation_strategy,best_MAE,best_MAE_baseline_N,delta_vs_N
grid,A,feature_noise,26.864211235969503,18.78953938123773,8.074671854731772
grid,A,feature_scaling,22.22047010663722,18.78953938123773,3.430930725399488
grid,A,grouped_scaling,22.739947537205484,18.78953938123773,3.9504081559677537
grid,N,none,18.78953938123773,18.78953938123773,0.0
none,A,feature_noise,21.238655974199933,21.630867359730587,-0.39221138553065416
none,A,feature_scaling,23.885003115543157,21.630867359730587,2.2541357558125696
none,A,grouped_scaling,23.905328082863953,21.630867359730587,2.274460723133366
none,N,none,21.630867359730587,21.630867359730587,0.0
random,A,feature_noise,26.864211235969503,18.78953938123773,8.074671854731772
random,A,feature_scaling,22.22047010663722,18.78953938123773,3.430930725399488
random,A,grouped_scaling,22.739947537205484,18.78953938123773,3.9504081559677537
random,N,none,18.78953938123773,18.78953938123773,0.0
