branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%
A_ST_feature_noise,A,none,feature_noise,ElasticNet,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577
N_ST,N,none,none,ElasticNet,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165
A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568
A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603
A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153
A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153
N_CT_random,N,random,none,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154
N_CT_grid,N,grid,none,ElasticNet,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154
A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784
A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784
A_CT_grid_feature_noise,A,grid,feature_noise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837
A_CT_random_feature_noise,A,random,feature_noise,Lasso,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837
