rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
1,ElasticNet,N,random,loeo,none,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615,"LOEO-CV (honest, n=10); tuning:random",SOLO_A_N_CT_random
2,ElasticNet,N,grid,loeo,none,18.789539381237695,25.649826156232226,0.8173319797525787,14.052371162921615,"LOEO-CV (honest, n=10); tuning:grid",SOLO_A_N_CT_grid
3,ElasticNet,A,none,loeo,feature_noise,21.238655974199922,28.63049728687949,0.772410902966659,14.683730807362135,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_A_A_ST_feature_noise
4,ElasticNet,N,none,loeo,none,21.630867359730615,29.111669986024843,0.7646967591949281,14.83546916092336,"LOEO-CV (honest, n=10)",SOLO_A_N_ST
5,ElasticNet,A,random,loeo,feature_scaling,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_A_A_CT_random_feature_scaling
6,ElasticNet,A,grid,loeo,feature_scaling,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_A_A_CT_grid_feature_scaling
7,Ridge,A,random,loeo,grouped_scaling,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_A_A_CT_random_grouped_scaling
8,Ridge,A,grid,loeo,grouped_scaling,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_A_A_CT_grid_grouped_scaling
9,ElasticNet,A,random,loeo,grouped_scaling,23.527293275767406,29.285454022415074,0.7618790575260538,16.75249732401313,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_A_A_CT_random_grouped_scaling
10,ElasticNet,A,grid,loeo,grouped_scaling,23.527293275767406,29.285454022415074,0.7618790575260538,16.75249732401313,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_A_A_CT_grid_grouped_scaling
11,Ridge,A,none,loeo,feature_scaling,23.885003115543157,31.3396118683617,0.7273026629000392,16.20636779850405,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_ST_feature_scaling
12,ElasticNet,A,none,loeo,grouped_scaling,23.90532808286401,30.554995793407375,0.7407861953874035,16.650082146980242,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_A_A_ST_grouped_scaling
