model,stage_order,branch_id,family,short_label,MAE,RMSE,R2,MAPE_%
ElasticNet,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,26.959668383421967,37.87890222950762,0.6016283372215274,17.038140684518165
ElasticNet,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154
ElasticNet,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,27.663196671987105,37.43323032800208,0.6109474350126594,17.164442088324154
ElasticNet,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,26.92359162845846,37.89671760708791,0.6012535211549672,16.992984657168577
ElasticNet,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,27.067745827786258,37.06400834724109,0.6185844104394445,17.313597773414603
ElasticNet,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,27.03587644172101,37.9805106331311,0.5994882435874869,17.174476760342568
ElasticNet,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,36.62542542163622,55.8801552157735,0.13302040238362056,22.002929265498
ElasticNet,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153
ElasticNet,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784
ElasticNet,10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,36.62542542163622,55.8801552157735,0.13302040238362056,22.002929265498
ElasticNet,11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,27.33827019113839,34.325109221720645,0.6728721452753981,17.959630966016153
ElasticNet,12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,28.63168660524925,38.036378719128194,0.5983090976555594,18.106731613098784
ElasticNet,13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,21.630867359730587,29.111669986024804,0.7646967591949286,14.835469160923353
ElasticNet,14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,18.78953938123773,25.649826156232233,0.8173319797525787,14.0523711629216
ElasticNet,15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,18.78953938123773,25.649826156232233,0.8173319797525787,14.0523711629216
ElasticNet,16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,21.238655974199933,28.6304972868795,0.7724109029666589,14.683730807362139
ElasticNet,17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,25.07521588418938,32.257977471706894,0.7110864314904533,17.190930099828485
ElasticNet,18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,23.905328082863953,30.55499579340729,0.7407861953874051,16.65008214698021
ElasticNet,19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,26.864211235969503,34.46415651711476,0.6702164582637086,18.40042901005931
ElasticNet,20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,22.22047010663722,28.68693678667039,0.7715127225823369,17.11798276707304
ElasticNet,21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,23.52729327576753,29.285454022415212,0.7618790575260516,16.75249732401319
ElasticNet,22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,26.864211235969503,34.46415651711476,0.6702164582637086,18.40042901005931
ElasticNet,23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,22.22047010663722,28.68693678667039,0.7715127225823369,17.11798276707304
ElasticNet,24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,23.52729327576753,29.285454022415212,0.7618790575260516,16.75249732401319
ElasticNet,25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,30.947568337376413,40.38287131045268,0.5472191401046226,20.522088167744663
ElasticNet,26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,33.261153534108594,37.38160503591477,0.612019803186524,21.78489275343349
ElasticNet,27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,33.261153534108594,37.38160503591477,0.612019803186524,21.78489275343349
ElasticNet,28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717
ElasticNet,29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,30.17538373254596,39.10906390282645,0.5753330021863728,20.05715580163005
ElasticNet,30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,30.56951483835244,39.49557956356081,0.5668975383607244,20.437173565692788
ElasticNet,31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717
ElasticNet,32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,31.24386571766441,37.19559634847329,0.6158713304813686,20.521029601140388
ElasticNet,33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,31.578293642363196,37.24826807577777,0.6147826507431219,21.096541891808805
ElasticNet,34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,31.04630895496855,40.50616987342629,0.5444500226796678,20.560324786648717
ElasticNet,35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,31.24386571766441,37.19559634847329,0.6158713304813686,20.521029601140388
ElasticNet,36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,31.578293642363196,37.24826807577777,0.6147826507431219,21.096541891808805
Lasso,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,33.655203326399295,39.96315208925388,0.556582180890405,21.652666110506328
Lasso,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115
Lasso,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,27.86047674087834,42.52008452171832,0.4980252082400013,16.06034820890115
Lasso,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,33.76470611813847,40.043827934874095,0.5547900691959045,21.666762231664016
Lasso,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086
Lasso,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,33.90907477231423,44.873651176511316,0.4409167446639729,20.066789481239002
Lasso,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,35.98316857921169,48.208122937141184,0.35474093630420234,22.197747111766837
Lasso,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,35.14329796436037,41.32056963284511,0.5259476871183246,22.013045688510086
Lasso,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,34.23988897418219,44.31060899835254,0.4548586719554206,19.78211165301344
