model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
DummyRegressor,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,N,none,none,FUSION_N_ST,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_random,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,random,none,FUSION_N_CT_random,203,"{""model__alpha"": 100}",36.91875491489422,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,N,random,none,FUSION_N_CT_random,203,"{""model__alpha"": 0.01}",29.987628837403513,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,N,random,none,FUSION_N_CT_random,203,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.01}",24.126257393232464,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,N,random,none,FUSION_N_CT_random,203,"{""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}",48.181882215734035,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,N,random,none,FUSION_N_CT_random,203,"{""model__n_estimators"": 50, ""model__min_samples_leaf"": 1, ""model__max_depth"": 2}",43.737833333333334,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,N,random,none,FUSION_N_CT_random,203,"{""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 2, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.5}",40.916133117675784,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,N,none,none,FUSION_N_CT_random,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_grid,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,grid,none,FUSION_N_CT_grid,203,"{""model__alpha"": 100}",36.91875491489422,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,N,grid,none,FUSION_N_CT_grid,203,"{""model__alpha"": 0.01}",29.987628837403513,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,N,grid,none,FUSION_N_CT_grid,203,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.7}",24.126257393232464,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,N,grid,none,FUSION_N_CT_grid,203,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": ""auto""}",48.181882215734035,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,N,grid,none,FUSION_N_CT_grid,203,"{""model__max_depth"": 2, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}",43.737833333333334,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,N,grid,none,FUSION_N_CT_grid,203,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",39.14677734375,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,N,none,none,FUSION_N_CT_grid,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,A,none,feature_noise,FUSION_A_ST_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,feature_noise,FUSION_A_CT_random_feature_noise,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,203,"{""model__alpha"": 100}",27.11762928489827,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,203,"{""model__alpha"": 0.01}",26.55655674526766,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,203,"{""model__l1_ratio"": 0.1, ""model__alpha"": 10}",23.65657941123676,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,203,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",48.408735448270384,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,feature_noise,FUSION_A_CT_random_feature_noise,203,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 1, ""model__max_depth"": null}",51.76675,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
