model,feature,rank,mean_abs_shap,mean_shap
ElasticNet_N_ST,A_p1_skewness,1,2.190125486427127,-1.3322676295501878e-16
ElasticNet_N_ST,A_rms_std_6_contacts,2,2.156256450522766,1.3322676295501878e-16
ElasticNet_N_ST,R_p1_crest_factor,3,1.9536969751132953,-9.992007221626409e-17
ElasticNet_N_ST,R_rms_std_6_contacts,4,1.8526487259175906,8.881784197001253e-17
ElasticNet_N_ST,A_p1_crest_factor,5,1.5755809299339463,-2.2204460492503132e-17
ElasticNet_N_ST,R_p4_dominant_freq_hz,6,1.480551495714355,0.0
ElasticNet_N_ST,A_p6_n_samples,7,1.372736399102667,-5.551115123125783e-17
ElasticNet_N_ST,A_p6_duration_s,8,1.3724918235891492,1.1102230246251566e-17
ElasticNet_N_ST,R_p5_min,9,1.3411878473374184,4.85722573273506e-17
ElasticNet_N_ST,A_p4_dominant_freq_hz,10,1.2081234557220637,8.881784197001253e-17
ElasticNet_N_ST,R_p1_absolute_mean,11,1.1804323295159103,-3.3306690738754695e-17
ElasticNet_N_ST,R_p1_std,12,1.1574390566418942,9.992007221626409e-17
ElasticNet_N_ST,R_p1_rms,13,1.15716880658328,4.9960036108132046e-17
ElasticNet_N_ST,R_p1_energy,14,1.1487095301088814,3.3306690738754695e-17
ElasticNet_N_ST,R_p1_spectral_energy,15,1.1386937802447783,2.2204460492503132e-17
ElasticNet_N_ST,A_p3_skewness,16,1.080389484347871,-1.0547118733938987e-16
ElasticNet_N_ST,R_p5_peak_to_peak,17,1.0609963538551155,-1.1102230246251565e-16
ElasticNet_N_ST,R_p5_n_samples,18,1.0233873145199175,8.881784197001253e-17
ElasticNet_N_ST,R_p5_duration_s,19,1.0231091307252003,-9.992007221626409e-17
ElasticNet_N_ST,R_p4_duration_s,20,1.0215053784808816,-1.7763568394002506e-16
ElasticNet_N_ST,R_p4_n_samples,21,1.0214751322280113,-8.881784197001253e-17
ElasticNet_N_ST,R_p3_max,22,0.9477720642251395,-4.4408920985006264e-17
ElasticNet_N_ST,A_p1_absolute_mean,23,0.9477044701730583,2.4980018054066023e-17
ElasticNet_N_ST,R_p5_absolute_mean,24,0.9339649365670084,2.2204460492503132e-17
ElasticNet_N_ST,A_p1_std,25,0.9069011089617252,4.4408920985006264e-17
ElasticNet_N_ST,A_p1_rms,26,0.9068511374380057,8.326672684688674e-18
ElasticNet_N_ST,A_p1_energy,27,0.9013203899031215,2.2204460492503132e-17
ElasticNet_N_ST,A_p5_duration_s,28,0.8816289465438553,1.6653345369377347e-17
ElasticNet_N_ST,A_p5_n_samples,29,0.8816036775624383,7.771561172376095e-17
ElasticNet_N_ST,R_p3_min,30,0.8703957504989323,4.4408920985006264e-17
ElasticNet_N_ST,R_p6_absolute_mean,31,0.868505061470227,-1.1102230246251566e-17
ElasticNet_N_ST,A_p1_spectral_energy,32,0.857947120864595,8.326672684688674e-18
ElasticNet_N_ST,R_p1_dominant_freq_hz,33,0.8560035870941846,9.43689570931383e-17
ElasticNet_N_ST,A_p4_spectral_energy,34,0.8558793987007975,4.4408920985006264e-17
ElasticNet_N_ST,R_p3_peak_to_peak,35,0.8529174381680033,4.4408920985006264e-17
ElasticNet_N_ST,A_p4_mean,36,0.8351856425695052,-8.326672684688674e-18
ElasticNet_N_ST,R_p3_dominant_freq_hz,37,0.8326190556539881,0.0
ElasticNet_N_ST,R_p2_kurtosis,38,0.8149906451196255,-5.551115123125783e-17
ElasticNet_N_ST,R_p5_kurtosis,39,0.8102102345987637,2.4980018054066023e-17
