model,feature,rank,mean_abs_shap,mean_shap
ElasticNet_SOLO_A_N_CT_grid,A_p1_skewness,1,4.395512611605687,-2.6645352591003756e-16
ElasticNet_SOLO_A_N_CT_grid,A_rms_std_6_contacts,2,3.557605813663797,1.7763568394002506e-16
ElasticNet_SOLO_A_N_CT_grid,A_p6_duration_s,3,3.156295569623951,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_grid,A_p6_n_samples,4,3.1557826029016067,6.661338147750939e-17
ElasticNet_SOLO_A_N_CT_grid,A_p1_crest_factor,5,3.0314139201001686,6.661338147750939e-17
ElasticNet_SOLO_A_N_CT_grid,A_p5_duration_s,6,2.354383169930454,2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_grid,A_p5_n_samples,7,2.353730143470769,-8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p1_absolute_mean,8,2.2301234509896224,1.1102230246251566e-17
ElasticNet_SOLO_A_N_CT_grid,A_p3_skewness,9,2.1802580031472933,1.1102230246251566e-17
ElasticNet_SOLO_A_N_CT_grid,A_p1_rms,10,2.0841745017900783,-8.326672684688674e-18
ElasticNet_SOLO_A_N_CT_grid,A_p1_std,11,2.0806779122270695,2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_dominant_freq_hz,12,2.020207778915123,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p1_dominant_freq_hz,13,1.9958937029211783,1.554312234475219e-16
ElasticNet_SOLO_A_N_CT_grid,A_p4_mean,14,1.979351530071527,1.1657341758564144e-16
ElasticNet_SOLO_A_N_CT_grid,A_p3_spectral_energy,15,1.93677214039583,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p1_energy,16,1.8941398414983652,2.7755575615628914e-17
ElasticNet_SOLO_A_N_CT_grid,A_p1_spectral_energy,17,1.7867019368169708,9.43689570931383e-17
ElasticNet_SOLO_A_N_CT_grid,A_to_R_energy_ratio,18,1.7709702775289649,2.317590563905014e-16
ElasticNet_SOLO_A_N_CT_grid,A_p6_mean,19,1.7552632846321792,-8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_to_R_rms_ratio,20,1.6029910170436588,9.992007221626409e-17
ElasticNet_SOLO_A_N_CT_grid,A_p2_min,21,1.505469437198435,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_grid,A_p3_min,22,1.4548190499670537,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p4_spectral_energy,23,1.4436385967079122,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_min,24,1.3952651375937872,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_crest_factor,25,1.392147622861583,1.7763568394002506e-16
ElasticNet_SOLO_A_N_CT_grid,A_p4_n_samples,26,1.2862381930910671,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_duration_s,27,1.2853506465254259,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p2_dominant_freq_hz,28,1.2834669124532136,6.661338147750939e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_spectral_centroid_hz,29,1.2751601119498779,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_energy,30,1.2708577590410897,-8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p5_skewness,31,1.2618800257929244,-7.216449660063518e-17
ElasticNet_SOLO_A_N_CT_grid,A_p1_duration_s,32,1.2056892038856037,5.551115123125783e-18
ElasticNet_SOLO_A_N_CT_grid,A_p1_n_samples,33,1.205619282538109,-1.9428902930940238e-17
ElasticNet_SOLO_A_N_CT_grid,A_p6_absolute_mean,34,1.2038456632216559,3.191891195797325e-17
ElasticNet_SOLO_A_N_CT_grid,A_p3_peak_to_peak,35,1.1841431133240006,-4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_kurtosis,36,1.165540170152619,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p2_crest_factor,37,1.150869909369874,-1.6653345369377348e-16
ElasticNet_SOLO_A_N_CT_grid,A_p2_kurtosis,38,1.1465432949333416,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_peak_to_peak,39,1.1416524378823987,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_grid,A_p2_peak_to_peak,40,1.12256752813163,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_grid,A_p3_energy,41,1.1181645782918312,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p4_skewness,42,1.0816808090350165,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p3_crest_factor,43,1.0625195372787357,-8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p5_dominant_freq_hz,44,1.0567440455072716,-4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_grid,A_p6_spectral_energy,45,1.0564054799110665,1.1102230246251566e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_rms,46,1.0500992777440785,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p4_std,47,1.0495485957998105,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_grid,A_p4_absolute_mean,48,0.9750939459972937,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p6_kurtosis,49,0.9038099202088858,1.6653345369377348e-16
ElasticNet_SOLO_A_N_CT_grid,A_p4_max,50,0.7092445910005161,0.0
ElasticNet_SOLO_A_N_CT_grid,A_p6_dominant_freq_hz,51,0.7056460258656949,0.0
