model,feature,rank,mean_abs_shap,mean_shap
ElasticNet_SOLO_A_N_CT_random,A_p1_skewness,1,4.395512611605689,-2.6645352591003756e-16
ElasticNet_SOLO_A_N_CT_random,A_rms_std_6_contacts,2,3.557605813663797,1.7763568394002506e-16
ElasticNet_SOLO_A_N_CT_random,A_p6_duration_s,3,3.156295569623951,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_n_samples,4,3.155782602901595,-2.220446049250313e-16
ElasticNet_SOLO_A_N_CT_random,A_p1_crest_factor,5,3.031413920100178,2.6645352591003756e-16
ElasticNet_SOLO_A_N_CT_random,A_p5_duration_s,6,2.3543831699304536,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p5_n_samples,7,2.353730143470769,1.554312234475219e-16
ElasticNet_SOLO_A_N_CT_random,A_p1_absolute_mean,8,2.230123450989615,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_skewness,9,2.1802580031472925,-5.551115123125783e-17
ElasticNet_SOLO_A_N_CT_random,A_p1_rms,10,2.084174501790078,1.7208456881689927e-16
ElasticNet_SOLO_A_N_CT_random,A_p1_std,11,2.0806779122270713,9.992007221626409e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_dominant_freq_hz,12,2.020207778915127,0.0
ElasticNet_SOLO_A_N_CT_random,A_p1_dominant_freq_hz,13,1.9958937029211783,1.554312234475219e-16
ElasticNet_SOLO_A_N_CT_random,A_p4_mean,14,1.9793515300715199,7.216449660063518e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_spectral_energy,15,1.9367721403958327,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p1_energy,16,1.8941398414983635,-1.6653345369377347e-17
ElasticNet_SOLO_A_N_CT_random,A_p1_spectral_energy,17,1.7867019368169685,-3.8857805861880476e-17
ElasticNet_SOLO_A_N_CT_random,A_to_R_energy_ratio,18,1.7709702775289653,3.1780134079895104e-16
ElasticNet_SOLO_A_N_CT_random,A_p6_mean,19,1.7552632846321834,-1.0547118733938987e-16
ElasticNet_SOLO_A_N_CT_random,A_to_R_rms_ratio,20,1.6029910170436554,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_min,21,1.505469437198435,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_min,22,1.454819049967053,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_spectral_energy,23,1.4436385967079133,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_min,24,1.3952651375937852,0.0
ElasticNet_SOLO_A_N_CT_random,A_p4_crest_factor,25,1.392147622861583,1.7763568394002506e-16
ElasticNet_SOLO_A_N_CT_random,A_p4_n_samples,26,1.286238193091067,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_duration_s,27,1.2853506465254294,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_dominant_freq_hz,28,1.2834669124532103,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_spectral_centroid_hz,29,1.2751601119498812,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_energy,30,1.27085775904109,0.0
ElasticNet_SOLO_A_N_CT_random,A_p5_skewness,31,1.261880025792921,-5.551115123125783e-18
ElasticNet_SOLO_A_N_CT_random,A_p1_duration_s,32,1.2056892038856053,-3.3306690738754695e-17
ElasticNet_SOLO_A_N_CT_random,A_p1_n_samples,33,1.2056192825381111,-6.938893903907228e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_absolute_mean,34,1.2038456632216556,3.053113317719181e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_peak_to_peak,35,1.184143113324001,0.0
ElasticNet_SOLO_A_N_CT_random,A_p4_kurtosis,36,1.1655401701526178,-8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_crest_factor,37,1.1508699093698724,-6.800116025829084e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_kurtosis,38,1.1465432949333396,-4.9960036108132046e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_peak_to_peak,39,1.1416524378823965,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_peak_to_peak,40,1.1225675281316283,1.1102230246251565e-16
ElasticNet_SOLO_A_N_CT_random,A_p3_energy,41,1.1181645782918292,2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_skewness,42,1.081680809035017,-8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_crest_factor,43,1.0625195372787342,-4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p5_dominant_freq_hz,44,1.0567440455072723,-6.106226635438361e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_spectral_energy,45,1.0564054799110718,-1.3322676295501878e-16
ElasticNet_SOLO_A_N_CT_random,A_p4_rms,46,1.0500992777440805,1.7763568394002506e-16
ElasticNet_SOLO_A_N_CT_random,A_p4_std,47,1.049548595799811,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p4_absolute_mean,48,0.9750939459972962,8.881784197001253e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_kurtosis,49,0.9038099202088847,1.1102230246251565e-16
ElasticNet_SOLO_A_N_CT_random,A_p4_max,50,0.7092445910005154,0.0
ElasticNet_SOLO_A_N_CT_random,A_p6_dominant_freq_hz,51,0.7056460258656924,-1.6653345369377347e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_max,52,0.6597830414110983,2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_spectral_centroid_hz,53,0.6202383126350357,-3.3306690738754695e-17
ElasticNet_SOLO_A_N_CT_random,A_p5_mean,54,0.6037903473204644,1.6653345369377347e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_max,55,0.5937945804440781,3.3306690738754695e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_rms,56,0.5931952631344617,1.3877787807814457e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_std,57,0.5911252633330636,-2.671474153004283e-17
ElasticNet_SOLO_A_N_CT_random,A_p5_spectral_centroid_hz,58,0.586695423778252,4.4408920985006264e-17
ElasticNet_SOLO_A_N_CT_random,A_p5_crest_factor,59,0.5815922875079216,-4.163336342344337e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_spectral_centroid_hz,60,0.5768066734488658,0.0
ElasticNet_SOLO_A_N_CT_random,A_p3_n_samples,61,0.5436534866279115,1.6653345369377347e-17
ElasticNet_SOLO_A_N_CT_random,A_p3_duration_s,62,0.5436326563911272,5.551115123125783e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_n_samples,63,0.5152762419843061,-3.053113317719181e-17
ElasticNet_SOLO_A_N_CT_random,A_p2_duration_s,64,0.5138031011150062,2.7755575615628915e-18
ElasticNet_SOLO_A_N_CT_random,A_p3_kurtosis,65,0.5076223023549199,-2.2204460492503132e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_spectral_centroid_hz,66,0.3926585959155955,0.0
ElasticNet_SOLO_A_N_CT_random,A_p5_absolute_mean,67,0.26528865928331097,-1.2490009027033011e-17
ElasticNet_SOLO_A_N_CT_random,A_p6_crest_factor,68,0.20920619675820343,3.4694469519536144e-19
ElasticNet_SOLO_A_N_CT_random,A_p1_spectral_centroid_hz,69,0.1851068407717743,-1.5265566588595904e-17
ElasticNet_SOLO_A_N_CT_random,A_p5_min,70,0.17686286980710209,2.0816681711721684e-18
ElasticNet_SOLO_A_N_CT_random,A_p1_kurtosis,71,0.12277990436926296,0.0
ElasticNet_SOLO_A_N_CT_random,A_p2_spectral_energy,72,0.08447866858259077,0.0
ElasticNet_SOLO_A_N_CT_random,A_p2_absolute_mean,73,0.08318264791502021,-2.7755575615628915e-18
ElasticNet_SOLO_A_N_CT_random,A_p6_skewness,74,0.08059836997239762,3.989863994746656e-18
ElasticNet_SOLO_A_N_CT_random,A_p2_energy,75,0.07913249221423765,5.551115123125783e-18
ElasticNet_SOLO_A_N_CT_random,A_p6_energy,76,0.03203125765004465,6.938893903907229e-19
ElasticNet_SOLO_A_N_CT_random,A_p5_spectral_energy,77,0.027002034619040327,1.7347234759768072e-19
ElasticNet_SOLO_A_N_CT_random,A_p1_max,78,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p1_mean,79,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p1_min,80,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p2_skewness,81,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p1_peak_to_peak,82,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p2_mean,83,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p2_rms,84,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p2_std,85,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p3_std,86,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p3_rms,87,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p3_mean,88,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p5_max,89,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p3_absolute_mean,90,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p5_rms,91,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p5_std,92,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p3_dominant_freq_hz,93,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p6_min,94,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p6_max,95,0.0,0.0
ElasticNet_SOLO_A_N_CT_random,A_p5_kurtosis,96,0.0,0.0
