model,feature,rank,mean_abs_shap,mean_shap
XGBoost_N_CT_random,A_p1_std,1,8.578852,1.867424
XGBoost_N_CT_random,A_p1_skewness,2,7.2516975,0.3372217
XGBoost_N_CT_random,A_p3_skewness,3,5.772233,0.22796392
XGBoost_N_CT_random,R_p1_rms,4,5.320619,0.8192831
XGBoost_N_CT_random,A_p1_mean,5,4.9621763,0.56287783
XGBoost_N_CT_random,R_p1_std,6,4.474741,0.7349757
XGBoost_N_CT_random,R_p2_kurtosis,7,3.1715796,0.42555565
XGBoost_N_CT_random,A_p1_max,8,2.2511592,-0.027582575
XGBoost_N_CT_random,A_p1_energy,9,2.2455268,0.45730934
XGBoost_N_CT_random,R_p1_crest_factor,10,2.1821697,0.18357933
XGBoost_N_CT_random,A_p1_rms,11,2.1006916,-0.09988097
XGBoost_N_CT_random,A_p1_peak_to_peak,12,2.0990684,0.4198138
XGBoost_N_CT_random,R_p3_min,13,2.0799968,-0.39703673
XGBoost_N_CT_random,A_p1_crest_factor,14,1.5619695,0.28801423
XGBoost_N_CT_random,R_p4_dominant_freq_hz,15,1.2546712,0.22311291
XGBoost_N_CT_random,A_p3_energy,16,1.140916,-0.24650106
XGBoost_N_CT_random,A_p1_kurtosis,17,1.1151531,0.16447912
XGBoost_N_CT_random,R_p1_kurtosis,18,1.0381484,-0.0013067841
XGBoost_N_CT_random,A_p2_peak_to_peak,19,0.96702623,-0.16684154
XGBoost_N_CT_random,R_p4_absolute_mean,20,0.73422784,-0.06988305
XGBoost_N_CT_random,A_p4_kurtosis,21,0.7010507,-0.02862091
XGBoost_N_CT_random,A_p1_min,22,0.63574064,-0.22417656
XGBoost_N_CT_random,A_p4_rms,23,0.6119682,-0.080414
XGBoost_N_CT_random,R_p1_duration_s,24,0.60799396,0.07873955
XGBoost_N_CT_random,A_p4_min,25,0.5462272,0.09643611
XGBoost_N_CT_random,R_p1_n_samples,26,0.45502934,0.061208874
XGBoost_N_CT_random,A_p3_max,27,0.38551617,0.059110843
XGBoost_N_CT_random,R_p3_max,28,0.36600152,0.12835982
XGBoost_N_CT_random,A_p2_max,29,0.36271217,0.08727658
XGBoost_N_CT_random,A_p1_spectral_centroid_hz,30,0.33030805,-0.079563245
XGBoost_N_CT_random,A_p3_spectral_energy,31,0.28020677,-0.084160365
XGBoost_N_CT_random,A_p4_skewness,32,0.26902646,0.0048914077
XGBoost_N_CT_random,A_p2_spectral_energy,33,0.26290175,0.011048421
XGBoost_N_CT_random,R_p4_duration_s,34,0.25563186,0.057472907
XGBoost_N_CT_random,A_p2_rms,35,0.23988979,-0.05675755
XGBoost_N_CT_random,R_p3_absolute_mean,36,0.22384202,-0.042553645
XGBoost_N_CT_random,R_p2_duration_s,37,0.20702556,0.00499468
XGBoost_N_CT_random,A_p1_duration_s,38,0.17892852,-0.05964284
XGBoost_N_CT_random,R_p2_n_samples,39,0.1751602,-0.0642807
XGBoost_N_CT_random,R_p3_skewness,40,0.17315336,-0.037061874
XGBoost_N_CT_random,A_p2_skewness,41,0.15249306,0.025235463
XGBoost_N_CT_random,A_p1_absolute_mean,42,0.12036367,0.06976766
XGBoost_N_CT_random,A_p2_min,43,0.11616664,0.06350357
XGBoost_N_CT_random,A_p4_n_samples,44,0.10992607,-0.004935464
XGBoost_N_CT_random,R_p2_rms,45,0.10419478,-0.018819328
XGBoost_N_CT_random,A_p3_std,46,0.098280534,-0.0136846285
XGBoost_N_CT_random,A_p2_duration_s,47,0.07779105,0.017591417
XGBoost_N_CT_random,R_p1_max,48,0.07429987,0.012921721
XGBoost_N_CT_random,R_p1_mean,49,0.06285918,-0.016541887
XGBoost_N_CT_random,R_p2_std,50,0.034773108,-0.010663753
XGBoost_N_CT_random,A_p2_crest_factor,51,0.0,0.0
XGBoost_N_CT_random,A_p2_absolute_mean,52,0.0,0.0
XGBoost_N_CT_random,A_p2_energy,53,0.0,0.0
XGBoost_N_CT_random,A_p1_spectral_energy,54,0.0,0.0
