model,feature,rank,mean_abs_shap,mean_shap
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_kurtosis,1,10.178041,-0.3685875
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_std,2,9.012816,0.63484114
XGBoost_SOLO_R_A_CT_random_feature_noise,R_rms_std_6_contacts,3,8.468182,0.07703342
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_duration_s,4,7.304699,0.80814683
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_crest_factor,5,5.002757,0.39918837
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_min,6,3.8604932,-0.4844969
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_rms,7,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_skewness,8,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_mean,9,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_peak_to_peak,10,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_max,11,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_duration_s,12,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_n_samples,13,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_dominant_freq_hz,14,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_spectral_energy,15,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_spectral_centroid_hz,16,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_kurtosis,17,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_energy,18,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_min,19,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_rms,20,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_max,21,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_peak_to_peak,22,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_min,23,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_skewness,24,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_crest_factor,25,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_energy,26,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_absolute_mean,27,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_duration_s,28,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_n_samples,29,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_dominant_freq_hz,30,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_spectral_energy,31,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_spectral_centroid_hz,32,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_mean,33,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p2_std,34,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p1_absolute_mean,35,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_rms,36,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_std,37,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_mean,38,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_max,39,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_kurtosis,40,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_crest_factor,41,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_peak_to_peak,42,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_skewness,43,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_duration_s,44,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_n_samples,45,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_dominant_freq_hz,46,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_spectral_energy,47,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_spectral_centroid_hz,48,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_mean,49,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_energy,50,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p3_absolute_mean,51,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_max,52,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_min,53,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_peak_to_peak,54,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_skewness,55,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_kurtosis,56,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_crest_factor,57,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_energy,58,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_absolute_mean,59,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_duration_s,60,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_n_samples,61,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_dominant_freq_hz,62,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_spectral_energy,63,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_spectral_centroid_hz,64,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_mean,65,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_std,66,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p4_rms,67,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_rms,68,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_std,69,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_max,70,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_min,71,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_kurtosis,72,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_crest_factor,73,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_peak_to_peak,74,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_skewness,75,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_duration_s,76,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_n_samples,77,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_dominant_freq_hz,78,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_spectral_energy,79,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_spectral_centroid_hz,80,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_mean,81,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_energy,82,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p5_absolute_mean,83,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_rms,84,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_std,85,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_max,86,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_min,87,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_kurtosis,88,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_crest_factor,89,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_peak_to_peak,90,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_skewness,91,0.0,0.0
XGBoost_SOLO_R_A_CT_random_feature_noise,R_p6_absolute_mean,92,0.0,0.0
