model,experiment_id,feature,shap_value,feature_value
ElasticNet_SOLO_A_N_CT_random,66,A_p1_mean,0.0,1.1146894206781635e-16
ElasticNet_SOLO_A_N_CT_random,66,A_p1_std,-2.9202587361947168,29.501608088871755
ElasticNet_SOLO_A_N_CT_random,66,A_p1_rms,-2.925166245501303,29.501608088871755
ElasticNet_SOLO_A_N_CT_random,66,A_p1_max,-0.0,188.4181374228045
ElasticNet_SOLO_A_N_CT_random,66,A_p1_min,-0.0,-194.75685057719545
ElasticNet_SOLO_A_N_CT_random,66,A_p1_peak_to_peak,-0.0,383.174988
ElasticNet_SOLO_A_N_CT_random,66,A_p1_skewness,-3.898126956080459,-0.0449073725090268
ElasticNet_SOLO_A_N_CT_random,66,A_p1_kurtosis,0.010265290616260943,0.3852658511827473
ElasticNet_SOLO_A_N_CT_random,66,A_p1_crest_factor,-4.3341278660015075,6.601567276960042
ElasticNet_SOLO_A_N_CT_random,66,A_p1_energy,-2.3426158751667803,3015.8320430967933
ElasticNet_SOLO_A_N_CT_random,66,A_p1_absolute_mean,-3.2325038269141997,22.12122743731175
ElasticNet_SOLO_A_N_CT_random,66,A_p1_duration_s,-1.7847660707211774,3.465079999999997
ElasticNet_SOLO_A_N_CT_random,66,A_p1_n_samples,-1.7846625670585514,173255.0
ElasticNet_SOLO_A_N_CT_random,66,A_p1_dominant_freq_hz,-2.7169185674047265,1878.1564746317213
ElasticNet_SOLO_A_N_CT_random,66,A_p1_spectral_energy,-2.162559782156192,13062699515668.39
ElasticNet_SOLO_A_N_CT_random,66,A_p1_spectral_centroid_hz,-0.3093875614002557,3764.345861010372
ElasticNet_SOLO_A_N_CT_random,66,A_p2_mean,0.0,5.418742325978035e-16
ElasticNet_SOLO_A_N_CT_random,66,A_p2_std,0.0,29.097757816604418
ElasticNet_SOLO_A_N_CT_random,66,A_p2_rms,0.0,29.097757816604418
ElasticNet_SOLO_A_N_CT_random,66,A_p2_max,-0.5923663233145698,225.6348624358021
ElasticNet_SOLO_A_N_CT_random,66,A_p2_min,-2.621593832259899,-265.4716585641979
ElasticNet_SOLO_A_N_CT_random,66,A_p2_peak_to_peak,-1.5752735756992113,491.106521
ElasticNet_SOLO_A_N_CT_random,66,A_p2_skewness,-0.0,-0.0201190705868289
ElasticNet_SOLO_A_N_CT_random,66,A_p2_kurtosis,-0.3572347740296474,0.614774917207614
ElasticNet_SOLO_A_N_CT_random,66,A_p2_crest_factor,-3.363998217231369,9.123440377688087
ElasticNet_SOLO_A_N_CT_random,66,A_p2_energy,0.0702603996811925,2786.2190641754464
