model,experiment_id,feature,shap_value,feature_value
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_mean,0.0,-1.0468019518536984e-16
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_std,-9.471379280090332,25.85961437564189
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_rms,0.0,25.85961437564189
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_max,0.0,166.60220631339837
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_min,0.0,-121.38207768660163
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_peak_to_peak,0.0,287.984284
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_skewness,0.0,0.1082352618649385
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_kurtosis,0.0,0.4032436449400856
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_crest_factor,-7.218452453613281,6.442563446356998
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_energy,0.0,2200.5557708701745
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_absolute_mean,0.0,19.690485580993336
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_duration_s,0.0,3.2906799999999983
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_n_samples,0.0,164535.0
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_dominant_freq_hz,0.0,1878.0198742619991
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_spectral_energy,0.0,9051711094003.111
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p1_spectral_centroid_hz,0.0,4706.092722192955
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_mean,0.0,2.745081014281717e-16
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_std,0.0,23.133153439469503
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_rms,0.0,23.133153439469503
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_max,0.0,227.13758236848088
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_min,0.0,-271.47278463151906
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_peak_to_peak,0.0,498.610367
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_skewness,0.0,0.0757982992945213
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_kurtosis,-8.788858413696289,0.7540000441414958
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_crest_factor,0.0,11.735226040057968
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_energy,0.0,1713.1847159646777
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_absolute_mean,0.0,17.400335669846566
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_duration_s,0.0,3.2013399999999947
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_n_samples,0.0,160068.0
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_dominant_freq_hz,0.0,1882.325011941216
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_p2_spectral_energy,0.0,6855651278373.933
